Voltage (V),Current (A),Temperature (°C),Vibration (mm/s),Label
394.57,10.16,32.89,1.83,normal
463.38,0.33,119.05,23.24,high
413.82,16.81,63.48,10.0,low
473.67,37.6,102.46,29.53,high
477.71,1.93,118.48,29.03,high
399.47,16.26,30.14,1.5,normal
474.69,1.53,90.78,28.12,high
382.16,7.18,43.44,1.12,low
370.2,13.46,61.29,2.96,low
400.15,8.34,67.21,2.01,low
409.73,14.46,73.13,10.05,moderate
410.95,19.87,89.66,16.49,moderate
395.49,6.06,44.63,2.45,low
359.79,33.31,36.89,11.92,moderate
406.62,12.78,43.04,4.09,normal
374.29,7.16,56.14,1.5,low
373.4,12.45,50.11,0.94,low
341.02,10.85,55.1,10.58,moderate
354.43,16.8,89.77,4.67,moderate
470.2,36.31,100.26,24.61,high
226.61,1.28,91.25,27.86,high
393.55,15.66,57.69,4.94,normal
389.01,14.65,53.3,0.44,normal
463.75,0.81,103.48,25.36,high
305.44,0.13,100.41,28.54,high
367.88,6.9,45.74,1.57,low
416.03,32.0,52.88,16.32,moderate
408.92,8.72,60.86,3.96,low
418.66,8.86,40.85,1.5,low
386.82,14.17,60.83,4.16,low
384.33,15.63,36.3,4.68,normal
379.71,18.72,53.58,7.5,low
378.37,13.55,33.79,9.46,low
347.32,30.45,76.59,4.18,moderate
394.81,17.7,59.76,8.34,low
390.91,16.05,50.52,0.37,normal
392.14,10.23,50.21,3.28,normal
410.06,32.27,80.25,18.39,moderate
219.5,0.73,118.05,24.04,high
337.81,1.02,103.39,20.39,high
349.06,28.21,77.91,3.43,moderate
396.09,8.67,42.97,2.58,low
347.61,30.92,88.38,2.3,moderate
379.91,14.21,56.18,0.16,low
392.66,17.15,52.01,3.63,normal
404.48,14.27,63.69,7.43,low
365.85,14.23,69.03,4.11,low
392.5,19.84,31.87,1.59,normal
238.04,44.36,109.39,24.91,high
461.77,0.74,97.72,20.55,high
387.58,16.25,37.95,4.16,normal
297.6,0.64,94.0,22.22,high
409.66,14.49,37.56,8.7,low
415.47,33.61,87.52,1.77,moderate
378.46,14.9,41.37,9.73,low
379.32,12.22,39.8,1.26,low
200.7,0.95,99.62,22.65,high
384.01,11.16,34.18,4.48,normal
354.4,25.46,58.73,15.06,moderate
381.63,16.24,52.56,1.45,normal
463.72,36.5,114.0,27.29,high
364.77,16.89,66.66,3.5,low
383.29,18.27,68.49,1.05,low
409.43,7.32,32.08,9.35,low
467.21,42.62,101.58,24.61,high
294.02,41.33,95.97,25.12,high
384.21,14.96,34.6,9.92,low
306.79,1.26,111.82,20.11,high
411.45,9.68,55.12,3.13,low
405.34,12.48,39.44,4.6,normal
390.98,15.01,68.41,9.25,low
384.45,6.07,30.08,2.56,low
277.84,49.97,109.46,23.42,high
353.34,11.69,82.56,18.57,moderate
399.63,17.0,87.29,11.2,moderate
417.05,10.39,30.68,1.41,normal
416.87,31.11,83.93,0.3,moderate
364.17,5.44,30.95,3.39,low
413.34,19.32,58.92,0.88,normal
405.61,25.66,84.22,19.77,moderate
402.68,12.01,59.67,2.33,normal
473.15,40.67,117.01,21.99,high
402.88,19.25,82.68,13.94,moderate
478.51,39.36,93.84,23.27,high
474.24,1.77,112.06,24.11,high
467.69,36.23,106.13,29.27,high
349.58,26.1,70.6,4.9,moderate
477.67,1.73,90.83,24.58,high
243.18,42.18,106.3,20.54,high
367.99,11.54,66.3,4.28,low
419.56,15.42,49.99,2.59,normal
476.73,38.7,115.38,27.22,high
406.75,13.8,51.86,4.19,normal
387.66,19.33,69.95,5.79,low
300.38,38.3,107.12,25.29,high
384.68,10.28,39.59,4.64,normal
404.27,16.52,55.63,4.4,normal
395.78,27.32,37.36,11.54,moderate
201.83,46.5,102.23,21.01,high
293.28,38.42,116.78,25.03,high
250.72,42.04,94.52,20.56,high
405.31,15.18,52.59,0.48,normal
342.58,29.19,57.99,16.42,moderate
419.55,17.16,34.07,2.7,normal
388.4,9.15,59.17,1.83,low
466.36,47.02,107.38,25.59,high
412.56,7.38,48.52,2.92,low
366.64,18.36,39.33,1.1,low
388.05,13.5,50.51,1.47,normal
395.75,6.24,35.23,0.46,low
415.66,13.84,59.62,8.23,low
396.38,7.12,54.3,0.79,low
464.07,0.23,108.46,24.77,high
250.17,42.98,91.29,26.55,high
207.82,49.26,90.64,24.52,high
218.69,1.71,98.06,23.01,high
399.37,8.88,67.28,1.1,low
472.03,39.0,98.31,26.81,high
401.74,30.47,72.24,4.21,moderate
357.66,13.99,72.96,3.61,moderate
373.35,15.31,55.83,7.0,low
387.77,8.29,38.25,1.67,low
471.48,1.71,111.05,21.36,high
394.63,33.69,86.85,3.1,moderate
351.28,13.93,80.97,3.18,moderate
386.05,6.22,38.06,7.5,low
353.29,16.48,48.47,13.33,moderate
389.17,30.87,72.33,17.09,moderate
268.27,46.86,99.19,27.81,high
346.09,29.88,46.97,12.24,moderate
383.13,10.19,64.27,2.32,low
477.83,47.93,104.45,25.77,high
404.08,6.05,42.39,6.25,low
478.13,1.62,119.21,26.56,high
472.89,41.87,111.39,26.53,high
218.6,1.68,115.36,21.94,high
241.21,37.18,110.88,27.98,high
342.18,34.3,80.29,2.12,moderate
464.83,35.76,100.3,29.81,high
216.49,0.53,101.66,26.11,high
383.08,16.61,88.41,18.07,moderate
335.25,1.23,99.46,22.9,high
406.25,12.07,54.71,9.59,low
383.54,19.0,77.93,17.86,moderate
385.72,11.99,61.0,4.64,low
340.53,11.98,41.54,13.76,moderate
362.84,8.76,40.6,0.23,low
365.98,19.59,63.95,2.87,low
212.65,36.14,101.89,29.55,high
464.11,1.82,103.47,29.92,high
395.02,7.11,54.93,2.29,low
478.23,0.95,106.07,27.49,high
469.39,45.87,99.21,23.54,high
342.94,16.37,70.31,3.19,moderate
394.22,18.84,47.33,3.92,normal
338.66,0.5,96.04,21.85,high
368.36,17.77,32.69,1.74,low
392.56,11.08,38.58,1.86,normal
357.93,29.04,88.48,3.35,moderate
359.56,33.11,38.4,10.81,moderate
398.09,9.74,58.75,0.07,low
392.36,15.32,43.72,6.41,low
409.78,15.81,51.93,3.66,normal
356.1,16.97,71.71,16.47,moderate
402.97,6.25,54.33,8.19,low
394.07,17.77,59.49,6.06,low
384.77,32.6,40.58,10.5,moderate
390.73,8.97,35.82,9.86,low
364.62,12.82,47.52,8.62,low
386.41,12.22,40.47,3.83,normal
393.67,11.78,39.56,0.66,normal
419.06,34.96,79.89,4.76,moderate
383.54,18.55,55.3,2.87,normal
387.9,13.54,38.03,4.81,normal
358.9,10.73,35.25,14.34,moderate
381.34,14.53,87.5,12.03,moderate
228.91,42.28,94.96,24.76,high
464.23,38.13,98.27,21.92,high
395.14,14.87,40.21,2.35,normal
348.31,12.23,35.01,12.17,moderate
417.66,19.21,47.15,7.83,low
349.59,27.5,32.2,19.37,moderate
287.97,40.39,93.08,20.97,high
474.83,1.47,100.15,25.39,high
272.44,43.05,119.8,25.37,high
400.47,16.69,44.5,3.07,normal
387.55,7.49,52.36,3.02,low
362.08,14.17,69.4,1.56,low
389.0,32.89,57.64,13.51,moderate
351.01,19.68,47.08,14.83,moderate
412.13,12.73,41.54,0.17,normal
465.52,37.3,119.04,20.39,high
278.47,1.32,95.76,25.92,high
356.01,12.47,89.85,3.98,moderate
303.38,40.85,105.44,23.73,high
366.35,7.0,36.68,0.09,low
411.28,11.72,35.22,8.83,low
384.44,18.74,46.32,0.18,normal
385.28,7.56,32.47,2.17,low
389.18,30.77,76.61,16.98,moderate
387.29,13.46,37.66,1.54,normal
408.59,16.2,62.58,7.79,low
261.34,1.54,91.64,22.08,high
340.2,18.14,75.87,1.61,moderate
463.24,42.77,97.8,21.66,high
395.98,26.93,75.83,16.37,moderate
349.37,25.64,42.42,0.24,moderate
469.9,1.1,100.42,26.38,high
373.48,14.66,42.73,9.49,low
392.15,19.1,77.68,19.1,moderate
408.23,5.92,45.87,3.36,low
344.92,15.24,47.25,18.63,moderate
356.42,19.73,89.19,0.38,moderate
269.8,46.19,105.81,29.79,high
418.68,14.57,45.3,1.65,normal
349.52,15.34,77.24,1.29,moderate
389.95,18.41,43.15,4.09,normal
395.24,12.26,31.94,0.6,normal
353.06,19.92,72.33,13.52,moderate
354.27,17.7,83.93,12.6,moderate
341.01,14.24,83.75,12.21,moderate
406.63,17.22,44.02,3.33,normal
229.12,43.6,119.16,24.69,high
409.99,15.39,32.61,4.91,normal
400.7,34.62,84.63,1.16,moderate
370.82,10.02,34.19,7.88,low
377.74,16.03,40.28,5.7,low
475.79,1.3,108.35,21.99,high
393.29,5.88,66.84,1.09,low
410.12,9.48,51.87,6.88,low
415.52,16.71,69.06,9.91,low
381.78,17.29,36.24,2.6,normal
411.99,28.77,81.02,4.33,moderate
349.76,15.34,46.09,11.44,moderate
462.57,0.08,106.45,21.79,high
376.83,14.04,36.73,0.8,low
399.91,11.26,32.79,3.29,normal
399.1,10.36,46.55,0.41,normal
461.16,44.73,115.93,26.88,high
385.89,5.05,51.73,2.02,low
325.74,0.19,112.47,26.86,high
340.85,30.73,89.02,2.4,moderate
395.34,15.69,47.57,1.82,normal
384.25,14.85,39.72,2.96,normal
376.35,7.69,34.02,1.25,low
358.49,31.86,48.2,19.88,moderate
402.13,11.51,61.63,1.59,low
206.12,42.3,105.48,22.33,high
404.18,14.94,32.63,4.66,normal
478.23,38.12,90.64,24.09,high
460.84,45.92,94.78,26.38,high
385.1,15.34,51.43,2.3,normal
220.93,1.27,99.34,24.68,high
392.86,6.54,41.36,1.7,low
366.75,11.46,30.94,0.34,low
386.18,18.3,52.68,2.81,normal
204.44,35.25,90.63,24.34,high
384.11,17.23,35.21,2.48,normal
392.01,30.59,31.36,10.7,moderate
384.78,33.2,82.41,2.98,moderate
413.47,13.72,55.35,3.11,normal
341.04,25.11,33.25,2.84,moderate
353.46,33.46,87.25,4.04,moderate
385.39,6.82,64.07,3.39,low
350.89,34.35,33.32,3.63,moderate
479.62,0.23,111.5,21.17,high
470.56,1.7,105.17,24.39,high
405.6,12.39,50.04,3.77,normal
370.97,19.8,53.08,1.23,low
468.98,0.45,94.11,24.5,high
386.11,11.62,55.94,0.02,normal
372.25,12.32,36.04,8.38,low
417.19,15.91,62.68,1.19,low
407.17,16.62,68.2,4.91,low
400.18,19.73,58.86,4.31,normal
350.34,12.62,70.26,14.51,moderate
386.96,16.53,49.1,0.4,normal
397.08,18.87,31.07,1.42,normal
385.44,13.93,30.16,8.84,low
411.48,16.44,33.05,0.66,normal
404.36,6.94,36.52,0.79,low
472.13,41.72,91.25,26.47,high
225.68,1.54,117.31,27.01,high
365.35,16.27,39.41,4.53,low
397.55,25.72,88.79,4.99,moderate
468.54,37.18,106.84,25.75,high
273.35,38.69,97.61,21.28,high
379.34,10.8,66.7,3.04,low
390.66,5.05,60.38,2.08,low
469.77,0.11,115.17,28.38,high
402.45,29.38,44.35,13.58,moderate
417.58,5.75,46.06,1.38,low
354.61,26.11,59.47,12.77,moderate
396.34,7.83,69.11,3.46,low
376.9,11.83,43.85,3.88,low
360.38,10.46,43.1,9.21,low
465.29,0.86,108.5,28.67,high
407.83,9.57,52.21,4.63,low
209.44,39.51,102.08,27.14,high
341.83,29.33,51.06,3.49,moderate
204.91,1.18,108.28,27.89,high
372.45,15.33,59.89,7.91,low
401.35,13.2,43.99,4.53,normal
257.41,1.18,104.62,25.42,high
465.74,0.59,107.62,23.58,high
417.72,19.4,55.54,2.0,normal
390.43,16.96,39.83,1.13,normal
416.71,14.86,35.79,0.16,normal
419.29,34.47,81.26,2.58,moderate
414.64,11.71,42.57,0.58,normal
365.18,13.49,34.08,4.28,low
370.19,8.33,56.08,3.43,low
357.75,30.99,44.26,4.39,moderate
223.66,45.1,118.37,22.95,high
411.07,18.45,45.83,2.48,normal
391.9,5.32,31.38,6.04,low
399.96,14.5,59.65,0.29,normal
396.82,18.65,51.4,1.31,normal
341.0,32.08,39.53,12.88,moderate
252.33,41.79,112.56,23.84,high
474.35,37.43,92.2,20.91,high
417.38,34.33,88.53,1.0,moderate
212.06,48.56,96.01,28.03,high
353.02,11.99,78.42,17.97,moderate
326.99,49.93,95.87,20.92,high
390.1,14.88,75.58,19.21,moderate
404.29,17.63,45.12,3.41,normal
414.58,12.23,53.05,1.67,normal
314.11,42.11,95.08,29.07,high
393.39,18.96,43.3,0.63,normal
360.14,17.45,34.66,4.3,low
463.76,49.71,110.27,21.97,high
395.89,19.55,56.41,1.57,normal
413.12,11.32,36.97,3.27,normal
386.76,12.8,44.35,3.62,normal
417.57,5.69,56.0,9.48,low
347.25,32.59,87.05,2.59,moderate
231.6,0.95,102.62,27.1,high
347.17,27.0,55.91,3.56,moderate
382.32,7.8,41.85,0.2,low
474.36,37.71,112.4,27.54,high
403.9,13.01,57.42,2.4,normal
409.47,12.38,61.68,8.32,low
400.65,19.88,44.62,4.15,normal
409.33,14.07,35.98,1.25,normal
348.53,12.61,73.54,15.63,moderate
380.57,11.53,55.67,4.53,normal
406.55,8.08,66.28,0.68,low
344.92,14.81,72.44,2.78,moderate
403.06,10.23,68.08,9.81,low
384.89,28.27,74.74,10.14,moderate
393.56,32.43,81.77,10.7,moderate
359.17,18.64,72.72,4.94,moderate
471.22,0.62,97.36,27.7,high
389.98,17.9,36.26,9.94,low
359.82,25.5,85.92,4.6,moderate
377.2,13.89,38.62,3.4,low
402.97,27.47,53.72,17.97,moderate
411.28,11.69,34.07,2.23,normal
264.72,39.63,109.36,20.21,high
419.53,11.93,68.69,0.44,low
478.04,49.97,100.28,21.14,high
413.17,12.32,54.35,3.13,normal
465.21,0.16,93.55,27.24,high
479.38,0.69,93.31,29.44,high
357.51,30.87,73.28,3.44,moderate
407.5,16.43,50.84,2.7,normal
392.77,10.45,45.63,2.09,normal
461.66,0.17,98.51,29.89,high
407.13,6.54,44.61,5.95,low
392.45,15.12,58.81,1.05,normal
390.43,16.92,47.76,4.89,normal
348.24,33.56,89.97,3.48,moderate
401.08,33.67,73.94,12.13,moderate
390.03,18.14,33.25,3.93,normal
477.31,0.07,113.97,22.18,high
218.79,49.34,91.68,26.02,high
341.24,16.71,31.57,15.2,moderate
351.57,15.53,85.01,2.35,moderate
473.87,41.48,96.5,24.1,high
477.1,45.4,102.85,25.39,high
391.73,30.41,30.39,16.29,moderate
418.73,11.24,86.42,17.85,moderate
309.07,48.62,107.74,28.65,high
350.41,10.07,46.4,10.03,moderate
414.96,14.2,56.79,2.76,normal
355.41,13.27,47.3,10.42,moderate
396.48,33.76,59.51,14.22,moderate
356.39,33.24,40.83,0.68,moderate
385.97,18.05,38.35,2.6,normal
472.11,47.4,109.6,28.83,high
385.76,19.0,39.74,3.96,normal
392.52,14.29,57.29,7.75,low
344.54,13.05,83.59,0.39,moderate
473.42,47.44,108.21,20.25,high
461.37,44.97,111.48,21.06,high
382.31,17.65,35.6,2.04,normal
395.83,10.14,32.26,1.09,normal
474.5,38.36,119.13,25.63,high
353.56,33.32,53.82,4.41,moderate
419.54,11.19,57.83,8.9,low
472.29,1.49,90.87,21.75,high
386.25,30.65,51.75,15.81,moderate
345.9,28.48,42.08,14.2,moderate
408.44,11.88,52.89,1.16,normal
402.09,29.94,56.59,12.47,moderate
341.5,33.14,77.78,4.89,moderate
347.56,31.41,37.61,15.73,moderate
475.3,37.35,109.32,20.45,high
406.66,13.39,30.91,0.77,normal
356.93,15.51,81.61,12.19,moderate
404.05,14.69,51.85,2.85,normal
461.87,0.91,103.29,22.38,high
400.31,19.5,74.0,11.02,moderate
409.41,17.81,39.08,0.18,normal
476.29,40.12,115.11,26.76,high
403.19,14.42,58.72,2.4,normal
348.87,14.75,31.89,14.52,moderate
460.57,41.62,103.21,23.9,high
380.67,17.46,76.69,11.99,moderate
383.6,11.67,34.0,4.71,normal
406.75,13.23,55.91,3.43,normal
398.69,12.7,49.75,4.1,normal
361.54,15.7,66.33,1.37,low
397.58,12.84,57.17,4.66,normal
412.62,15.96,57.39,4.06,normal
382.41,5.24,53.25,6.43,low
387.3,14.19,37.85,2.0,normal
461.92,45.73,109.38,22.91,high
364.71,11.05,37.41,9.8,low
408.49,6.29,67.67,2.52,low
358.89,28.62,72.62,0.4,moderate
351.27,13.73,73.67,17.44,moderate
380.0,17.33,57.59,4.07,normal
410.26,14.26,45.76,4.42,normal
370.21,17.72,64.6,2.15,low
377.87,8.91,32.8,2.95,low
391.73,14.16,59.63,1.46,normal
460.93,40.99,111.24,29.46,high
418.78,19.92,51.01,2.91,normal
410.18,16.66,50.03,0.99,normal
406.85,14.97,36.28,8.54,low
417.02,33.18,86.35,4.02,moderate
374.83,18.3,34.81,2.51,low
477.61,0.88,103.78,25.68,high
394.69,9.17,45.37,3.66,low
367.71,6.51,56.55,3.99,low
412.56,15.54,44.48,0.3,normal
464.67,37.01,95.32,20.99,high
466.05,48.63,91.85,22.96,high
391.03,12.04,51.68,1.79,normal
342.0,27.28,87.69,0.46,moderate
384.06,27.64,86.8,12.9,moderate
385.39,28.0,84.29,15.4,moderate
406.45,12.5,61.6,3.62,low
476.81,1.54,117.22,23.92,high
460.28,1.4,99.67,25.75,high
410.48,19.78,52.22,0.03,normal
385.01,17.33,57.9,8.38,low
348.47,25.18,38.97,3.45,moderate
387.07,13.17,61.47,0.01,low
398.09,5.02,59.92,9.14,low
465.63,38.32,103.99,23.11,high
414.47,19.71,37.11,2.65,normal
355.37,31.7,43.18,19.9,moderate
478.58,44.17,94.15,27.77,high
477.41,1.52,115.85,29.74,high
478.61,0.97,111.03,25.06,high
368.79,14.54,42.97,0.76,low
413.9,6.32,65.26,1.96,low
348.05,29.71,83.35,1.09,moderate
387.38,10.87,82.52,13.74,moderate
414.81,14.04,37.0,1.99,normal
391.4,17.64,58.19,2.52,normal
333.05,42.1,97.7,29.12,high
282.38,0.58,106.73,23.77,high
387.88,12.95,62.61,0.69,low
354.93,14.09,47.31,16.17,moderate
462.21,1.58,113.78,21.18,high
396.13,32.6,86.95,11.53,moderate
408.86,31.75,46.8,10.48,moderate
348.42,15.81,81.26,16.01,moderate
472.85,0.62,113.59,27.34,high
460.46,1.95,103.52,20.67,high
320.06,35.5,107.07,27.09,high
416.16,19.89,48.92,1.82,normal
338.96,41.87,108.99,21.17,high
410.8,5.84,34.13,2.58,low
406.23,11.74,36.98,1.08,normal
343.24,11.43,73.41,16.04,moderate
393.59,8.66,54.66,7.74,low
306.11,1.55,100.79,24.77,high
247.44,37.87,117.13,23.56,high
411.99,32.25,73.41,19.4,moderate
407.48,16.64,79.59,11.96,moderate
240.85,44.66,103.62,24.91,high
361.96,13.77,57.66,9.17,low
380.26,29.37,51.95,14.31,moderate
365.41,11.25,42.4,1.24,low
395.57,19.11,61.61,5.58,low
412.58,5.59,46.12,3.88,low
333.95,1.88,105.3,26.53,high
403.79,5.16,40.66,0.11,low
342.67,19.13,78.86,18.12,moderate
343.8,28.01,82.69,0.16,moderate
381.24,33.99,73.7,0.73,moderate
407.62,15.04,33.94,1.3,normal
200.86,43.57,111.63,20.48,high
418.83,7.31,52.69,6.15,low
409.81,15.16,57.31,2.72,normal
403.08,14.47,70.62,14.97,moderate
390.46,6.15,62.72,1.55,low
415.43,13.88,57.98,0.6,normal
477.82,0.09,92.6,23.5,high
320.08,38.89,111.15,27.11,high
402.24,17.01,56.72,1.6,normal
356.84,33.23,58.61,10.6,moderate
230.03,47.99,92.0,25.14,high
353.97,13.83,89.6,17.74,moderate
376.38,10.54,45.91,2.39,low
278.37,36.51,111.87,20.08,high
410.95,10.96,43.14,9.36,low
390.18,12.83,35.56,6.43,low
241.05,38.71,118.97,28.53,high
415.1,11.96,49.98,4.36,normal
374.64,12.88,64.12,2.32,low
409.89,15.47,51.7,4.45,normal
349.08,19.99,86.28,11.45,moderate
476.72,0.93,110.96,20.94,high
465.89,46.56,106.04,25.19,high
282.04,1.29,94.94,23.69,high
216.41,1.07,90.97,26.85,high
478.39,45.41,96.49,21.54,high
403.77,16.11,59.41,2.21,normal
417.56,16.99,66.02,6.83,low
418.99,14.72,35.11,2.08,normal
385.71,12.3,35.02,1.78,normal
388.47,10.73,64.14,0.87,low
396.61,16.38,64.5,7.92,low
409.0,31.13,38.8,18.85,moderate
475.52,49.26,107.24,20.16,high
398.09,15.6,37.97,0.61,normal
343.33,32.55,49.94,15.61,moderate
460.39,1.21,96.51,21.47,high
460.54,1.3,105.73,28.29,high
464.88,0.98,114.67,27.86,high
309.58,40.47,96.46,26.75,high
357.11,17.48,35.11,11.1,moderate
398.39,26.92,38.41,11.47,moderate
379.84,12.47,59.61,2.07,low
415.39,15.92,43.02,2.3,normal
469.63,1.63,92.23,25.47,high
462.97,42.61,91.48,27.52,high
473.22,0.14,97.61,28.09,high
384.69,12.72,45.3,2.11,normal
465.79,1.82,108.73,23.26,high
235.42,1.76,108.31,21.42,high
290.72,0.83,97.4,25.55,high
342.2,19.7,85.42,16.6,moderate
404.69,19.01,57.21,2.34,normal
394.23,14.26,56.83,0.78,normal
211.82,1.72,115.95,25.08,high
476.28,42.51,117.31,23.99,high
402.87,12.14,40.97,2.2,normal
351.04,34.81,42.79,2.7,moderate
408.68,9.8,31.48,9.34,low
391.83,13.48,33.92,4.79,normal
408.08,14.4,59.64,4.15,normal
476.56,1.41,115.23,22.74,high
394.52,17.54,33.99,1.69,normal
352.8,18.16,76.5,13.1,moderate
383.05,15.38,49.9,0.93,normal
225.14,36.02,113.21,25.28,high
365.76,13.15,31.83,4.88,low
466.97,47.34,103.55,24.71,high
462.33,48.49,110.29,29.18,high
367.95,17.52,50.34,0.35,low
387.65,11.65,80.93,10.57,moderate
415.97,12.05,58.29,6.29,low
386.48,17.15,53.7,2.0,normal
409.96,26.89,86.63,14.91,moderate
398.33,19.14,59.08,4.08,normal
417.24,11.01,43.27,1.94,normal
364.9,12.79,32.5,5.54,low
400.01,10.12,67.69,5.06,low
375.09,17.92,65.55,3.26,low
350.65,14.6,57.23,13.91,moderate
405.43,11.21,49.08,6.39,low
403.64,16.16,60.93,3.61,low
264.58,1.81,111.31,26.42,high
465.46,40.62,102.73,26.56,high
247.09,48.31,118.13,21.47,high
298.03,0.15,97.47,20.94,high
399.46,10.15,35.57,4.3,normal
376.72,17.77,45.18,8.8,low
352.81,11.4,84.5,10.04,moderate
348.13,31.35,41.95,15.37,moderate
237.91,0.68,117.46,21.49,high
413.53,10.65,50.63,1.7,normal
396.63,16.29,47.23,2.02,normal
391.09,14.76,43.07,1.44,normal
314.29,36.92,98.22,21.49,high
407.63,17.88,58.79,8.58,low
461.76,45.64,106.25,20.85,high
201.58,38.32,116.21,27.42,high
276.92,0.18,93.38,25.69,high
412.98,31.94,84.77,2.44,moderate
385.4,15.12,43.38,4.92,normal
220.71,40.83,95.92,20.87,high
394.22,10.54,38.57,3.94,normal
407.74,15.45,44.77,2.28,normal
388.28,17.24,62.04,5.46,low
391.87,29.68,32.73,12.66,moderate
397.29,11.63,46.77,0.59,normal
401.6,13.08,86.72,12.38,moderate
418.69,19.58,67.25,6.83,low
476.3,0.54,90.34,25.14,high
225.76,0.02,103.09,28.24,high
473.29,0.54,100.52,25.67,high
413.49,12.23,53.26,9.05,low
347.67,14.2,79.05,3.7,moderate
405.63,11.75,48.11,8.92,low
409.8,11.92,33.98,1.64,normal
461.66,37.86,104.2,29.99,high
381.82,26.98,82.23,4.75,moderate
468.22,40.98,108.21,22.04,high
301.24,1.49,114.82,21.08,high
356.11,11.19,78.92,15.01,moderate
410.44,14.03,57.28,0.54,normal
351.95,13.23,89.2,0.47,moderate
464.08,37.11,104.64,27.17,high
354.27,10.56,84.15,4.68,moderate
275.52,0.89,111.48,27.89,high
383.18,16.24,48.23,0.61,normal
469.01,43.53,97.44,29.05,high
404.87,17.49,50.0,2.29,normal
389.43,25.23,83.13,3.38,moderate
390.07,14.51,62.71,1.99,low
350.39,28.44,44.57,19.25,moderate
392.2,18.49,40.65,3.42,normal
460.21,47.92,95.67,21.71,high
407.08,27.95,37.94,16.56,moderate
341.28,19.16,30.11,17.04,moderate
403.05,5.76,64.24,3.51,low
341.32,17.02,88.4,16.33,moderate
466.95,39.1,99.79,26.71,high
362.94,10.67,59.41,1.79,low
402.62,26.53,83.74,18.83,moderate
414.26,14.53,87.53,17.92,moderate
383.45,11.27,47.94,5.68,low
383.38,17.93,33.65,6.72,low
389.28,17.43,59.33,0.86,normal
229.55,0.98,93.06,21.53,high
412.49,9.05,33.43,4.38,low
370.35,18.85,49.07,0.37,low
348.74,26.96,32.55,15.25,moderate
419.97,18.78,68.02,6.16,low
473.66,0.46,93.78,28.15,high
292.91,48.84,114.44,28.81,high
413.45,6.72,53.3,6.3,low
364.66,15.66,69.76,3.83,low
406.38,5.07,46.78,2.76,low
382.49,17.03,33.65,2.77,normal
402.51,12.07,67.71,0.04,low
247.4,0.55,104.09,23.66,high
381.18,17.91,42.05,3.39,normal
406.95,7.9,31.65,1.68,low
419.93,26.59,72.64,17.48,moderate
240.96,1.21,98.8,24.54,high
380.22,18.69,47.39,4.34,normal
464.19,39.94,109.49,20.48,high
405.67,5.48,66.61,4.75,low
466.89,40.34,91.38,25.56,high
415.46,11.28,53.46,0.83,normal
402.69,9.33,45.43,9.12,low
254.37,0.91,95.92,25.62,high
390.69,12.03,47.77,0.62,normal
400.6,34.06,77.1,0.06,moderate
379.45,16.86,36.13,5.36,low
402.36,7.36,33.61,0.48,low
406.8,19.6,35.9,4.47,normal
357.39,30.7,87.21,3.46,moderate
397.39,17.6,65.3,0.28,low
473.42,40.67,96.2,20.33,high
465.83,0.29,99.82,20.59,high
465.55,0.48,112.27,25.47,high
478.61,43.07,110.86,24.18,high
398.28,26.76,70.03,12.17,moderate
386.24,16.04,60.13,4.48,low
369.26,6.99,57.2,0.57,low
348.6,14.45,71.86,17.57,moderate
465.97,0.21,111.46,25.27,high
472.11,44.34,96.44,28.1,high
395.18,12.43,36.33,0.05,normal
415.15,16.66,34.1,2.17,normal
467.45,1.04,96.72,28.14,high
392.45,14.52,41.9,1.94,normal
349.7,31.03,75.96,3.48,moderate
402.74,18.85,54.65,7.89,low
359.7,31.24,75.83,3.54,moderate
412.15,11.01,52.85,2.17,normal
400.07,25.99,82.3,15.15,moderate
348.44,15.95,72.55,1.5,moderate
343.73,11.13,84.31,10.22,moderate
204.8,44.55,96.42,27.79,high
413.8,10.62,55.89,4.47,normal
410.89,9.52,50.65,1.17,low
400.06,9.01,34.26,3.86,low
412.17,19.79,69.83,2.55,low
227.31,0.29,118.04,20.35,high
390.4,18.98,64.1,2.99,low
388.08,12.94,54.84,0.59,normal
383.69,6.82,44.24,4.49,low
466.58,1.2,114.37,25.21,high
417.07,14.34,65.36,1.55,low
223.66,0.88,111.57,26.06,high
354.69,13.13,79.73,4.35,moderate
374.47,9.12,44.65,3.56,low
381.69,16.4,38.05,1.96,normal
469.47,47.58,111.53,24.55,high
212.22,1.7,94.63,25.95,high
419.98,13.35,43.92,0.39,normal
380.29,16.2,69.71,0.88,low
341.61,31.08,86.28,2.1,moderate
397.26,12.4,75.77,18.48,moderate
415.43,9.57,65.57,0.7,low
408.64,18.88,54.74,1.28,normal
470.14,48.09,104.42,29.7,high
390.25,12.87,61.28,7.13,low
385.45,14.81,31.23,3.91,normal
393.91,33.4,33.19,17.66,moderate
325.72,40.39,113.56,24.98,high
471.0,0.38,90.78,23.5,high
350.88,28.74,59.98,1.26,moderate
292.68,37.6,117.19,23.58,high
463.47,0.5,107.9,22.67,high
387.33,11.55,51.7,2.39,normal
412.23,31.17,81.23,2.2,moderate
386.4,18.72,45.72,1.46,normal
342.74,11.95,86.52,14.92,moderate
358.57,16.97,73.14,17.74,moderate
346.94,29.8,51.93,0.4,moderate
367.29,19.55,69.01,2.7,low
342.71,11.46,78.41,1.19,moderate
385.95,16.03,43.62,4.92,normal
347.85,33.94,30.72,11.23,moderate
